Timestamp,Date,Measure,Maple,TrueFi,Backed Finance,Securitize,Ondo,Arca Labs,Open Eden,Superstate,Swarm,Matrixdock,Wisdomtree Prime,Franklin Templeton Benji Investments,Hashnote,OpenTrade (Perimeter Protocol),Midas
1680652800000,2023-04-05,Total Asset Value (Dollar),,,1051850.00,,74302675.11,367620.00,,,,55982575.87,1000241.71,274926741.25,,,
1680739200000,2023-04-06,Total Asset Value (Dollar),,,1053300.00,,77173073.48,367620.00,,,,56658764.54,1000241.71,275080310.11,,,
1680825600000,2023-04-07,Total Asset Value (Dollar),,,1053300.00,,77173073.48,367620.00,,,,65058764.54,1000241.71,275080310.11,,,
1680912000000,2023-04-08,Total Asset Value (Dollar),,,1053300.00,,77173073.48,367620.00,,,,65058764.54,1000241.71,275080310.11,,,
1680998400000,2023-04-09,Total Asset Value (Dollar),,,1053300.00,,77173073.48,367620.00,,,,65058764.54,1000241.71,275080310.11,,,
1681084800000,2023-04-10,Total Asset Value (Dollar),,,1051250.00,,77056688.53,367620.00,,,,65058764.54,1000241.71,275115856.35,,,
1681171200000,2023-04-11,Total Asset Value (Dollar),,,1048650.00,,77600956.32,367620.00,,,,65058764.54,1000241.71,275150053.80,,,
1681257600000,2023-04-12,Total Asset Value (Dollar),,,1050850.00,,78092924.92,367620.00,,,,65058764.54,1000241.71,275184375.15,,,
1681344000000,2023-04-13,Total Asset Value (Dollar),,,1049950.00,,78135436.03,367620.00,,,,65058764.54,1000241.71,274938935.65,,,
1681430400000,2023-04-14,Total Asset Value (Dollar),,,1046650.00,,111053728.14,367620.00,,,,64816320.59,1000241.71,275042360.03,,,
1681516800000,2023-04-15,Total Asset Value (Dollar),,,1046650.00,,111053728.14,367620.00,,,,65556729.34,1000241.71,275042360.03,,,
1681603200000,2023-04-16,Total Asset Value (Dollar),,,1046650.00,,111053728.14,367620.00,,,,65556729.34,1000241.71,275042360.03,,,
1681689600000,2023-04-17,Total Asset Value (Dollar),,,1047850.00,,111260698.02,367620.00,,,,65556729.34,1000241.71,274581027.21,,,
1681776000000,2023-04-18,Total Asset Value (Dollar),,,1046600.00,,111499737.85,367620.00,,,,65556729.34,1000241.71,277615029.65,,,
1681862400000,2023-04-19,Total Asset Value (Dollar),,,1047950.00,,111679853.21,367620.00,,,,65556729.34,1000241.71,277599588.93,,,
1681948800000,2023-04-20,Total Asset Value (Dollar),,,1049250.00,,112450528.77,367620.00,,,,65556729.34,1000241.71,277734151.44,,,
1682035200000,2023-04-21,Total Asset Value (Dollar),,,1049050.00,,112241853.47,367620.00,,,,66056729.34,1000241.71,277837900.44,,,
1682121600000,2023-04-22,Total Asset Value (Dollar),,,1049050.00,,112241853.47,367620.00,,,,66056729.34,1000241.71,277837900.44,,,
1682208000000,2023-04-23,Total Asset Value (Dollar),,,1049050.00,,112241853.47,367620.00,,,,66056729.34,1000241.71,277837900.44,,,
1682294400000,2023-04-24,Total Asset Value (Dollar),,,1047600.00,,114440467.87,367620.00,,,,66056729.34,1000241.71,277837900.44,,,
1682380800000,2023-04-25,Total Asset Value (Dollar),,,2098400.00,,115128234.76,367620.00,,,,68056729.34,1000241.71,277939939.59,,,
1682467200000,2023-04-26,Total Asset Value (Dollar),,,2085900.00,,115138662.10,367620.00,,,,68313527.75,1000271.56,275935539.43,,,
1682553600000,2023-04-27,Total Asset Value (Dollar),,,2094900.00,,115159516.78,367620.00,,,,68313527.75,1000271.56,275970844.19,,,
1682640000000,2023-04-28,Total Asset Value (Dollar),,,2101100.00,,115169944.11,367620.00,,,,68313527.75,1000271.56,276076157.84,,,
1682726400000,2023-04-29,Total Asset Value (Dollar),,,2101100.00,,115169944.11,367620.00,,,,68313527.75,1000271.56,276076157.84,,,
1682812800000,2023-04-30,Total Asset Value (Dollar),,,2101100.00,,115169944.11,367620.00,,,,68313527.75,1000271.56,276076157.84,,,
1682899200000,2023-05-01,Total Asset Value (Dollar),,,2092800.00,,114907829.58,367620.00,,,,68313527.75,1000296.52,281478037.04,,,
1682985600000,2023-05-02,Total Asset Value (Dollar),,,2102900.00,,120176412.66,367620.00,,,,68514536.63,1000271.56,283846127.64,,,
1683072000000,2023-05-03,Total Asset Value (Dollar),,,2101800.00,,121714820.55,367620.00,,,,68514536.63,1000271.56,286156188.96,,,
1683158400000,2023-05-04,Total Asset Value (Dollar),499942.18,,4207000.00,,121781156.18,367620.00,,,,68626938.58,1000271.56,288160356.39,,,
1683244800000,2023-05-05,Total Asset Value (Dollar),500016.45,,4187900.00,,126996718.19,367620.00,,,,68626938.58,1000271.56,291537347.25,,,
1683331200000,2023-05-06,Total Asset Value (Dollar),499623.21,,4187900.00,,126996718.19,367620.00,,,,68626938.58,1000271.56,291537347.25,,,
1683417600000,2023-05-07,Total Asset Value (Dollar),501247.23,,4187900.00,,126996718.19,367620.00,,,,68626938.58,1000271.56,291537347.25,,,
1683504000000,2023-05-08,Total Asset Value (Dollar),500368.77,,4188200.00,,127117270.20,367620.00,,,,68626938.58,1000271.56,291574736.72,,,
1683590400000,2023-05-09,Total Asset Value (Dollar),499254.17,,4190800.00,,129024453.16,367620.00,,,16148.38,71319492.21,1000271.56,291104768.71,,,
1683676800000,2023-05-10,Total Asset Value (Dollar),499421.18,,4188300.00,,129071307.25,367620.00,,,16122.06,71459436.90,1000271.56,291673423.03,,,
1683763200000,2023-05-11,Total Asset Value (Dollar),500371.58,,4190100.00,,129118161.35,367620.00,,,16126.74,71459436.90,1000271.56,291841207.63,,,
1683849600000,2023-05-12,Total Asset Value (Dollar),500416.34,,6277500.00,,129118161.35,367620.00,,,16111.63,71559436.90,1000358.86,290155532.04,,,
1683936000000,2023-05-13,Total Asset Value (Dollar),499112.58,,6277500.00,,129118161.35,367620.00,,,16111.63,71559436.90,1000358.86,290155532.04,,,
1684022400000,2023-05-14,Total Asset Value (Dollar),499729.51,,6277500.00,,129118161.35,367620.00,,,16111.63,71559436.90,1000358.86,290155532.04,,,
1684108800000,2023-05-15,Total Asset Value (Dollar),500358.05,,6309500.00,,129129874.87,367620.00,,,16161.55,71559436.90,1000356.86,290343721.41,,,
1684195200000,2023-05-16,Total Asset Value (Dollar),499930.32,,6275000.00,,129129874.87,367620.00,,,16095.74,71559436.90,1000382.72,290309044.94,,,
1684281600000,2023-05-17,Total Asset Value (Dollar),499731.48,,7359600.00,,142015007.94,367620.00,,,16147.22,71559436.90,1000407.63,288098081.86,,,
1684368000000,2023-05-18,Total Asset Value (Dollar),499020.84,,7322500.00,,143995791.07,367620.00,,,16083.75,71630631.02,1000407.63,288385427.85,,,
1684454400000,2023-05-19,Total Asset Value (Dollar),499797.28,,7340350.00,,151296599.09,367620.00,,,16119.92,71630631.02,1000493.86,290467231.96,,,
1684540800000,2023-05-20,Total Asset Value (Dollar),499784.68,,7340350.00,,151296599.09,367620.00,,,16119.92,71731540.03,1000493.86,290467231.96,,,
1684627200000,2023-05-21,Total Asset Value (Dollar),499870.33,,7340350.00,,151296599.09,367620.00,,,16119.92,71731540.03,1000493.86,290467231.96,,,
1684713600000,2023-05-22,Total Asset Value (Dollar),500038.21,,7340350.00,,122447185.96,367620.00,,,16119.92,71731540.03,1000585.05,290511415.69,,,
